# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* JOEDHDHP_01376      K09771   37.93  161.4   4.3e-48 small multidrug resistance family-3 protein
* JOEDHDHP_01377      K02039  111.80  204.3     1e-60 phosphate transport system protein
* JOEDHDHP_01383      K02343  242.27  645.5  2.7e-194 DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
* JOEDHDHP_01386      K01782  814.10  944.9  1.6e-284 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
* JOEDHDHP_01388      K26732  271.23  544.6  4.6e-164 K+:H+ antiporter subunit KhtU
* JOEDHDHP_01389      K07228  101.70  195.0     2e-58 K+:H+ antiporter subunit KhtT
* JOEDHDHP_01400      K00574  343.17  429.4  8.4e-129 cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]
* JOEDHDHP_01401      K09828  240.37  249.7   1.5e-74 Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]
* JOEDHDHP_01404      K01489   35.00   59.8     9e-17 cytidine deaminase [EC:3.5.4.5]
* JOEDHDHP_01405      K09747   40.27  158.6     5e-47 nucleoid-associated protein EbfC
* JOEDHDHP_01406      K06187  115.93  359.4  9.9e-108 recombination protein RecR
* JOEDHDHP_01408      K07009  100.30  347.1  5.1e-104 lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]
* JOEDHDHP_01409      K23393  165.17  577.0  1.2e-173 lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]
* JOEDHDHP_01410      K15268  139.23  402.4    4e-121 O-acetylserine/cysteine efflux transporter
* JOEDHDHP_01414      K01649  453.87  709.8  1.4e-213 2-isopropylmalate synthase [EC:2.3.3.13]
* JOEDHDHP_01416      K00928  353.77  536.9  1.7e-161 aspartate kinase [EC:2.7.2.4]
* JOEDHDHP_01417      K00133  189.07  481.7  1.2e-144 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
* JOEDHDHP_01418      K10112  543.20  579.9  2.3e-174 multiple sugar transport system ATP-binding protein [EC:7.5.2.-]
* JOEDHDHP_01418      K13464   33.13   58.4   1.5e-16 jasmonate ZIM domain-containing protein
* JOEDHDHP_01425      K21159  444.47  525.9  2.1e-158 epoxide hydrolase
* JOEDHDHP_01428      K03333  334.23  697.1    8e-210 cholesterol oxidase [EC:1.1.3.6]
* JOEDHDHP_01430      K03781   74.07  753.5  7.6e-227 catalase [EC:1.11.1.6]
* JOEDHDHP_01431      K04047   79.80  127.2   2.4e-37 starvation-inducible DNA-binding protein
* JOEDHDHP_01432      K01091  119.17  147.5   1.5e-43 phosphoglycolate phosphatase [EC:3.1.3.18]
* JOEDHDHP_01433      K22934  314.77  444.3    2e-133 alpha,alpha-trehalase [EC:3.2.1.28]
* JOEDHDHP_01436      K20461  162.53  193.9   9.3e-58 lantibiotic transport system permease protein
* JOEDHDHP_01437      K20460  144.43  210.9   5.6e-63 lantibiotic transport system permease protein
* JOEDHDHP_01438      K20459  375.10  447.0  1.9e-134 lantibiotic transport system ATP-binding protein
* JOEDHDHP_01438      K01990  272.97  305.4   2.7e-91 ABC-2 type transport system ATP-binding protein
* JOEDHDHP_01440      K07778  165.83  183.5     2e-54 two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]
* JOEDHDHP_01443      K07098   83.23  242.7   1.8e-72 uncharacterized protein
* JOEDHDHP_01444      K09117   50.50  195.1   5.2e-58 uncharacterized protein
* JOEDHDHP_01446      K18955   70.43  102.4   1.2e-29 WhiB family transcriptional regulator, redox-sensing transcriptional regulator
* JOEDHDHP_01447      K01551   65.60  154.9   9.5e-46 arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]
* JOEDHDHP_01448      K01551   65.60  109.6   5.4e-32 arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]
* JOEDHDHP_01451      K00635  106.00  151.2   1.3e-44 diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]
* JOEDHDHP_01453      K16639  122.63  188.8   4.5e-56 endoribonuclease LACTB2 [EC:3.1.27.-]
* JOEDHDHP_01454      K10914  144.53  265.3   3.3e-79 CRP/FNR family transcriptional regulator, cyclic AMP receptor protein
* JOEDHDHP_01456      K10773  133.93  278.3   4.3e-83 endonuclease III [EC:3.2.2.- 4.2.99.18]
* JOEDHDHP_01459      K03558   40.83   53.2   8.6e-15 membrane protein required for colicin V production
* JOEDHDHP_01465      K01895  768.30  994.1  1.6e-299 acetyl-CoA synthetase [EC:6.2.1.1]
* JOEDHDHP_01466      K15580  350.57  370.1  8.4e-111 oligopeptide transport system substrate-binding protein
* JOEDHDHP_01467      K15581  355.40  411.2  1.1e-123 oligopeptide transport system permease protein
* JOEDHDHP_01467      K02033  270.00  359.1  9.1e-108 peptide/nickel transport system permease protein
* JOEDHDHP_01468      K15582  367.67  387.2  2.3e-116 oligopeptide transport system permease protein
* JOEDHDHP_01468      K02034  255.03  307.6   4.4e-92 peptide/nickel transport system permease protein
* JOEDHDHP_01469      K02031  428.13  802.5  7.8e-242 peptide/nickel transport system ATP-binding protein
* JOEDHDHP_01469      K13464   33.13   95.5   9.3e-28 jasmonate ZIM domain-containing protein
* JOEDHDHP_01471      K18697  116.10  126.0   5.1e-37 phosphatidylglycerophosphatase C [EC:3.1.3.27]
* JOEDHDHP_01473      K02283  324.77  481.3  1.5e-144 pilus assembly protein CpaF [EC:7.4.2.8]
* JOEDHDHP_01474      K12510   82.73  159.1   5.7e-47 tight adherence protein B
* JOEDHDHP_01475      K12511   93.63  136.8   3.2e-40 tight adherence protein C
* JOEDHDHP_01479      K00101  489.90  523.3  3.4e-157 L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
* JOEDHDHP_01482      K06877  288.40 1088.8         0 DEAD/DEAH box helicase domain-containing protein
* JOEDHDHP_01483      K03704   79.87  128.8   6.4e-38 cold shock protein
* JOEDHDHP_01485      K03168  447.27  873.8  5.2e-263 DNA topoisomerase I [EC:5.6.2.1]
* JOEDHDHP_01486      K02341  237.50  305.4   2.5e-91 DNA polymerase III subunit delta' [EC:2.7.7.7]
* JOEDHDHP_01510      K03716  301.03  440.2  1.1e-132 spore photoproduct lyase [EC:4.1.99.14]
* JOEDHDHP_01514      K18479  318.43  530.5  6.9e-160 sulfoquinovose isomerase [EC:5.3.1.31]
* JOEDHDHP_01520      K10215  416.27  825.7    9e-249 monooxygenase [EC:1.14.13.-]
* JOEDHDHP_01521      K06988  162.30  228.1   4.2e-68 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
* JOEDHDHP_01524      K03787  160.97  207.3   1.3e-61 5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]
* JOEDHDHP_01526      K01115   98.70  112.2   6.4e-33 phospholipase D1/2 [EC:3.1.4.4]
* JOEDHDHP_01527      K06221  358.50  429.5  2.3e-129 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]
* JOEDHDHP_01528      K01029  356.70  381.2  5.2e-115 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
* JOEDHDHP_01529      K01028  401.30  424.7  6.3e-128 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
* JOEDHDHP_01534      K07006   44.17  102.2   1.2e-29 uncharacterized protein
* JOEDHDHP_01538      K01011  192.20  314.3   3.4e-94 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
* JOEDHDHP_01540      K00249  376.40  461.1  1.5e-138 acyl-CoA dehydrogenase [EC:1.3.8.7]
* JOEDHDHP_01548      K03929  476.37  507.9  1.7e-152 para-nitrobenzyl esterase [EC:3.1.1.-]
* JOEDHDHP_01549      K03885  201.50  472.0    7e-142 NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
* JOEDHDHP_01550      K07222  279.07  357.9  2.1e-107 putative flavoprotein involved in K+ transport
* JOEDHDHP_01552      K00004  380.20  454.9    6e-137 (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
* JOEDHDHP_01553      K03366  317.67  379.3    3e-114 meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]
* JOEDHDHP_01558      K02638   87.83   88.6   1.4e-25 plastocyanin
* JOEDHDHP_01562      K21159  444.47  479.3  2.9e-144 epoxide hydrolase
* JOEDHDHP_01565      K09796   22.70   44.1   5.3e-12 periplasmic copper chaperone A
* JOEDHDHP_01572      K01477  139.03  452.0  1.1e-135 allantoicase [EC:3.5.3.4]
* JOEDHDHP_01576      K16840  140.53  143.3   2.8e-42 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
* JOEDHDHP_01577      K12663  215.47  321.6   2.6e-96 Delta3,5-Delta2,4-dienoyl-CoA isomerase [EC:5.3.3.21]
* JOEDHDHP_01581      K01507   20.30  135.4   9.6e-40 inorganic pyrophosphatase [EC:3.6.1.1]
* JOEDHDHP_01582      K07259  128.37  398.6  1.9e-119 serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
* JOEDHDHP_01584      K04075  124.03  303.9   6.7e-91 tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
* JOEDHDHP_01585      K00760   81.10  248.8   2.7e-74 hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
* JOEDHDHP_01586      K03798  777.43 1019.8         0 cell division protease FtsH [EC:3.4.24.-]
* JOEDHDHP_01587      K01495   55.27  294.8   1.9e-88 GTP cyclohydrolase IA [EC:3.5.4.16]
* JOEDHDHP_01588      K00796  235.83  382.4  5.8e-115 dihydropteroate synthase [EC:2.5.1.15]
* JOEDHDHP_01589      K01633   93.17  154.9   8.8e-46 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]
* JOEDHDHP_01590      K00950   42.53  175.6   4.4e-52 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
* JOEDHDHP_01594      K01918   70.97  442.3  5.2e-133 pantoate--beta-alanine ligase [EC:6.3.2.1]
* JOEDHDHP_01595      K01579   60.50  246.7   4.1e-74 aspartate 1-decarboxylase [EC:4.1.1.11]
* JOEDHDHP_01596      K03525   46.47  245.8   1.7e-73 type III pantothenate kinase [EC:2.7.1.33]
* JOEDHDHP_01599      K04567  315.03  671.2  6.7e-202 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* JOEDHDHP_01600      K03696 1072.80 1273.0         0 ATP-dependent Clp protease ATP-binding subunit ClpC
* JOEDHDHP_01603      K04063   54.60  111.1   1.8e-32 lipoyl-dependent peroxiredoxin [EC:1.11.1.28]
* JOEDHDHP_01605      K21481   99.60  175.2   3.1e-52 heme oxygenase (mycobilin-producing) [EC:1.14.99.57]
* JOEDHDHP_01608      K03575  150.40  306.1   1.3e-91 A/G-specific adenine glycosylase [EC:3.2.2.31]
* JOEDHDHP_01609      K01673   19.67  154.0   1.4e-45 carbonic anhydrase [EC:4.2.1.1]
* JOEDHDHP_01612      K07067  322.70  530.8  6.7e-160 diadenylate cyclase [EC:2.7.7.85]
* JOEDHDHP_01613      K04485  175.20  590.9  7.8e-178 DNA repair protein RadA/Sms
* JOEDHDHP_01614      K09796   22.70   40.6   6.6e-11 periplasmic copper chaperone A
* JOEDHDHP_01615      K07736   48.27  258.4   3.6e-77 CarD family transcriptional regulator, regulator of rRNA transcription
* JOEDHDHP_01616      K00991  233.50  264.1   6.7e-79 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
* JOEDHDHP_01618      K01883  382.13  580.1    2e-174 cysteinyl-tRNA synthetase [EC:6.1.1.16]
* JOEDHDHP_01619      K03218  215.13  331.0   2.1e-99 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
* JOEDHDHP_01622      K27862  214.70  482.8  7.6e-145 class II lanthipeptide synthase [EC:3.13.2.4]
* JOEDHDHP_01623      K07778  165.83  264.6   5.2e-79 two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]
* JOEDHDHP_01624      K07693  223.60  232.9   1.4e-69 two-component system, NarL family, response regulator DesR
* JOEDHDHP_01635      K02078   40.10   46.4   1.7e-12 acyl carrier protein
* JOEDHDHP_01643      K07160  105.30  404.8  1.2e-121 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
* JOEDHDHP_01644      K02075  270.90  274.9   2.3e-82 zinc/manganese transport system permease protein
* JOEDHDHP_01645      K02074  300.83  376.1  6.5e-113 zinc/manganese transport system ATP-binding protein
* JOEDHDHP_01646      K02077  267.80  322.3   1.9e-96 zinc/manganese transport system substrate-binding protein
* JOEDHDHP_01648      K22934  314.77  497.1  2.2e-149 alpha,alpha-trehalase [EC:3.2.1.28]
* JOEDHDHP_01648      K01087  158.63  177.9   8.6e-53 trehalose 6-phosphate phosphatase [EC:3.1.3.12]
* JOEDHDHP_01650      K00851   54.67  233.7   4.8e-70 gluconokinase [EC:2.7.1.12]
* JOEDHDHP_01651      K18955   70.43   99.5     9e-29 WhiB family transcriptional regulator, redox-sensing transcriptional regulator
* JOEDHDHP_01655      K04719  219.70  296.8     7e-89 5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]
* JOEDHDHP_01657      K02346  376.03  495.8  4.5e-149 DNA polymerase IV [EC:2.7.7.7]
* JOEDHDHP_01661      K27097   54.13  182.8   1.7e-54 ESX-1-secreted protein regulator
* JOEDHDHP_01664      K03695 1051.63 1261.0         0 ATP-dependent Clp protease ATP-binding subunit ClpB
* JOEDHDHP_01667      K03744   28.13   90.5   3.6e-26 LemA protein
* JOEDHDHP_01668      K00762  107.07  202.7   3.1e-60 orotate phosphoribosyltransferase [EC:2.4.2.10]
* JOEDHDHP_01671      K08221  212.57  609.3  1.3e-183 MFS transporter, ACDE family, multidrug resistance protein
* JOEDHDHP_01680      K03975   61.80  195.5     3e-58 membrane-associated protein
* JOEDHDHP_01681      K03975   61.80  298.7   1.1e-89 membrane-associated protein
* JOEDHDHP_01682      K01624   88.03  357.1  7.1e-107 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
* JOEDHDHP_01686      K16264  313.50  343.4  5.9e-103 cobalt-zinc-cadmium efflux system protein
* JOEDHDHP_01690      K01939  133.97  590.7  6.8e-178 adenylosuccinate synthase [EC:6.3.4.4]
* JOEDHDHP_01691      K06336   42.90   50.5   7.4e-14 spore coat-associated protein N
* JOEDHDHP_01693      K13280   58.77  126.9   2.6e-37 signal peptidase I [EC:3.4.21.89]
* JOEDHDHP_01695      K06336   42.90   50.1     1e-13 spore coat-associated protein N
* JOEDHDHP_01696      K13280   58.77  111.4   1.4e-32 signal peptidase I [EC:3.4.21.89]
* JOEDHDHP_01700      K01796  339.07  596.4  1.5e-179 alpha-methylacyl-CoA racemase [EC:5.1.99.4]
* JOEDHDHP_01701      K08289  264.07  776.2  1.3e-233 phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]
* JOEDHDHP_01702      K09793   54.63  127.8   1.3e-37 uncharacterized protein
* JOEDHDHP_01705      K00528  322.80  593.9  1.4e-178 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
* JOEDHDHP_01706      K03119  330.53  375.9  3.4e-113 taurine dioxygenase [EC:1.14.11.17]
* JOEDHDHP_01708      K01470   69.53   73.3   5.8e-21 creatinine amidohydrolase [EC:3.5.2.10]
* JOEDHDHP_01709      K10764  535.27  647.6  1.6e-195 O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
* JOEDHDHP_01710      K02361  372.90  420.1  3.9e-126 isochorismate synthase [EC:5.4.4.2]
* JOEDHDHP_01711      K02566  283.53  488.9  4.6e-147 5'-nucleotidase [EC:3.1.3.5]
* JOEDHDHP_01712      K20938  488.90  653.5  1.8e-196 long-chain alkane monooxygenase [EC:1.14.14.28]
* JOEDHDHP_01717      K02035  253.17  325.5   2.2e-97 peptide/nickel transport system substrate-binding protein
* JOEDHDHP_01718      K02033  270.00  345.1  1.7e-103 peptide/nickel transport system permease protein
* JOEDHDHP_01719      K02034  255.03  296.8   8.4e-89 peptide/nickel transport system permease protein
* JOEDHDHP_01720      K02031  428.13  741.1  3.2e-223 peptide/nickel transport system ATP-binding protein
* JOEDHDHP_01720      K13464   33.13   72.6   7.9e-21 jasmonate ZIM domain-containing protein
* JOEDHDHP_01723      K09164   85.83  284.1   4.4e-85 uncharacterized protein
* JOEDHDHP_01727      K23107  339.10  358.6  1.1e-107 1-deoxyxylulose-5-phosphate synthase [EC:1.1.-.-]
* JOEDHDHP_01732      K03829   94.87  104.9   1.5e-30 putative acetyltransferase [EC:2.3.1.-]
* JOEDHDHP_01733      K01265  137.57  208.1   6.1e-62 methionyl aminopeptidase [EC:3.4.11.18]
* JOEDHDHP_01736      K09958   58.10  288.5     1e-86 uncharacterized protein
* JOEDHDHP_01738      K00389   51.40  110.3     3e-32 inner membrane protein YidH
* JOEDHDHP_01739      K15510  367.27  598.7  7.4e-181 coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]
* JOEDHDHP_01740      K00540   67.07  116.0     6e-34 F420H(2)-dependent quinone reductase [EC:1.1.98.-]
* JOEDHDHP_01741      K13788  564.63 1108.9         0 phosphate acetyltransferase [EC:2.3.1.8]
* JOEDHDHP_01742      K00925  171.73  601.5  6.5e-181 acetate kinase [EC:2.7.2.1]
* JOEDHDHP_01743      K14949  299.50  957.0  2.2e-288 serine/threonine-protein kinase PknG [EC:2.7.11.1]
* JOEDHDHP_01744      K02030   88.33  159.1   4.2e-47 polar amino acid transport system substrate-binding protein
* JOEDHDHP_01748      K01990  272.97  312.4     2e-93 ABC-2 type transport system ATP-binding protein
* JOEDHDHP_01748      K13464   33.13   35.9     1e-09 jasmonate ZIM domain-containing protein
* JOEDHDHP_01749      K01992   20.23   27.2   5.4e-07 ABC-2 type transport system permease protein
* JOEDHDHP_01751      K00788  167.63  257.6   6.5e-77 thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
* JOEDHDHP_01752      K03153  279.43  420.0  3.4e-126 glycine oxidase [EC:1.4.3.19]
* JOEDHDHP_01753      K03154   34.80   76.0   6.6e-22 sulfur carrier protein
* JOEDHDHP_01754      K03149  166.50  441.0  1.9e-132 thiazole synthase [EC:2.8.1.10]
* JOEDHDHP_01766      K28224  154.50  213.3   3.6e-64 enoyl-CoA hydratase [EC:4.2.1.-]
* JOEDHDHP_01767      K28221  336.00  443.6  1.9e-133 5OH-HIP-CoA dehydrogenase [EC:1.3.99.-]
* JOEDHDHP_01769      K00255  581.30  592.0  3.4e-178 long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
* JOEDHDHP_01769      K00249  376.40  377.1  4.3e-113 acyl-CoA dehydrogenase [EC:1.3.8.7]
* JOEDHDHP_01772      K28222  535.20  555.8  1.5e-167 5OH-HIP-CoA dehydrogenase [EC:1.3.99.-]
* JOEDHDHP_01773      K15866  292.73  303.1   1.1e-90 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]
* JOEDHDHP_01775      K28225  393.87  428.2  4.5e-129 3-hydroxyl acyl-CoA dehydrogenase [EC:1.1.-.-]
* JOEDHDHP_01778      K28222  535.20  538.3  3.1e-162 5OH-HIP-CoA dehydrogenase [EC:1.3.99.-]
* JOEDHDHP_01779      K08683  243.50  269.7   8.9e-81 3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
* JOEDHDHP_01780      K00632  502.30  539.0    4e-162 acetyl-CoA acyltransferase [EC:2.3.1.16]
* JOEDHDHP_01782      K15977   61.87  120.8   2.7e-35 putative oxidoreductase
* JOEDHDHP_01785      K10805  345.13  364.5  1.5e-109 acyl-CoA thioesterase II [EC:3.1.2.-]
* JOEDHDHP_01790      K28232  241.17  388.0  5.7e-117 enoyl-CoA hydratase [EC:4.2.1.-]
* JOEDHDHP_01793      K02182  493.60  524.8  7.4e-158 carnitine-CoA ligase [EC:6.2.1.48]
* JOEDHDHP_01795      K01796  339.07  564.7  6.3e-170 alpha-methylacyl-CoA racemase [EC:5.1.99.4]
* JOEDHDHP_01796      K15983  355.97  462.9  1.6e-139 3-ketosteroid 9alpha-monooxygenase subunit B [EC:1.14.15.30]
* JOEDHDHP_01797      K15982  289.33  319.9   8.3e-96 3-ketosteroid 9alpha-monooxygenase subunit A [EC:1.14.15.30]
* JOEDHDHP_01818      K22213  260.47  295.9   1.2e-88 6-methylsalicylate decarboxylase [EC:4.1.1.52]
* JOEDHDHP_01828      K19200  203.40  295.2   2.5e-88 isopenicillin-N N-acyltransferase like protein
* JOEDHDHP_01829      K00276  550.67  745.3  3.1e-224 primary-amine oxidase [EC:1.4.3.21]
* JOEDHDHP_01835      K10947   62.10   77.8   2.7e-22 PadR family transcriptional regulator
* JOEDHDHP_01840      K05712  351.57  445.2    1e-133 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
* JOEDHDHP_01841      K20941  401.17  510.8  4.2e-154 gamma-resorcylate decarboxylase [EC:4.1.1.103]
* JOEDHDHP_01841      K14333  426.80  429.6    2e-129 2,3-dihydroxybenzoate decarboxylase [EC:4.1.1.46]
* JOEDHDHP_01841      K07045  140.83  150.4   2.4e-44 uncharacterized protein
* JOEDHDHP_01842      K00217  313.00  479.8  3.2e-144 maleylacetate reductase [EC:1.3.1.32]
* JOEDHDHP_01843      K04098  359.60  418.8  3.5e-126 hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37]
* JOEDHDHP_01847      K00140  494.97  889.0  1.2e-267 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
* JOEDHDHP_01848      K06995   52.73   96.7   3.3e-28 uncharacterized protein
* JOEDHDHP_01850      K09684  190.80  205.0   7.5e-61 PucR family transcriptional regulator, purine catabolism regulatory protein
* JOEDHDHP_01851      K11735  630.33  682.6    1e-205 GABA permease
* JOEDHDHP_01856      K09684  190.80  412.9  8.1e-124 PucR family transcriptional regulator, purine catabolism regulatory protein
* JOEDHDHP_01857      K00140  494.97  908.2  1.9e-273 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
* JOEDHDHP_01859      K06995   52.73   75.5   1.2e-21 uncharacterized protein
* JOEDHDHP_01861      K03343  509.77  687.6  2.1e-207 putrescine oxidase [EC:1.4.3.10]
* JOEDHDHP_01861      K00274  338.23  403.8    7e-121 monoamine oxidase [EC:1.4.3.4]
* JOEDHDHP_01864      K03862  334.47  567.2  3.9e-171 vanillate monooxygenase [EC:1.14.13.82]
* JOEDHDHP_01865      K26740  184.90  279.5   4.1e-84 PadR family transcriptional regulator, regulator of vanillate utilization
* JOEDHDHP_01867      K02035  253.17  322.5   1.7e-96 peptide/nickel transport system substrate-binding protein
* JOEDHDHP_01868      K02033  270.00  324.5     3e-97 peptide/nickel transport system permease protein
* JOEDHDHP_01869      K02034  255.03  270.0   1.1e-80 peptide/nickel transport system permease protein
* JOEDHDHP_01870      K13464   33.13   37.6     3e-10 jasmonate ZIM domain-containing protein
* JOEDHDHP_01873      K01426  300.93  361.2  4.2e-108 amidase [EC:3.5.1.4]
* JOEDHDHP_01875      K02616   64.80  226.1   2.5e-67 phenylacetic acid degradation operon negative regulatory protein
* JOEDHDHP_01877      K01907  538.93  848.4  1.7e-255 acetoacetyl-CoA synthetase [EC:6.2.1.16]
* JOEDHDHP_01877      K20036  312.10  370.9  8.5e-112 (methylthio)acryloyl-CoA hydratase [EC:4.2.1.155]
* JOEDHDHP_01878      K17735  421.80  438.0  9.1e-132 carnitine 3-dehydrogenase [EC:1.1.1.108]
* JOEDHDHP_01879      K07045  140.83  180.3     2e-53 uncharacterized protein
* JOEDHDHP_01880      K05989  130.53  222.2   3.2e-66 alpha-L-rhamnosidase [EC:3.2.1.40]
* JOEDHDHP_01881      K01426  300.93  368.9  1.9e-110 amidase [EC:3.5.1.4]
* JOEDHDHP_01889      K00848  277.80  612.6  1.4e-184 rhamnulokinase [EC:2.7.1.5]
* JOEDHDHP_01891      K01820  348.70  620.7  2.5e-187 L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]
* JOEDHDHP_01892      K02529  271.43  353.4  6.8e-106 LacI family transcriptional regulator, galactose operon repressor
* JOEDHDHP_01926      K22210  112.50  265.0   3.7e-79 D-glutamate cyclase [EC:4.2.1.48]
* JOEDHDHP_01929      K21159  444.47  453.7  1.7e-136 epoxide hydrolase
* JOEDHDHP_01931      K06893   65.20   75.6   1.5e-21 uncharacterized protein
* JOEDHDHP_01933      K19670  209.50  390.7  1.9e-117 phosphonoacetate hydrolase [EC:3.11.1.2]
* JOEDHDHP_01954      K07795   85.27  254.0   6.9e-76 putative tricarboxylic transport membrane protein
* JOEDHDHP_01963      K03743   24.80  200.0   1.6e-59 nicotinamide-nucleotide amidase [EC:3.5.1.42]
* JOEDHDHP_01965      K03449  125.23  418.5  1.2e-125 MFS transporter, CP family, cyanate transporter
* JOEDHDHP_01966      K24084  359.77  393.6  1.6e-118 quorum-quenching protein AidA
* JOEDHDHP_01967      K07124  228.83  330.9   3.6e-99 uncharacterized protein
* JOEDHDHP_01969      K20938  488.90  770.5  7.9e-232 long-chain alkane monooxygenase [EC:1.14.14.28]
* JOEDHDHP_01974      K03761  452.47  597.8  5.3e-180 MFS transporter, MHS family, alpha-ketoglutarate permease
* JOEDHDHP_01975      K07080   94.90  243.4   1.3e-72 uncharacterized protein
* JOEDHDHP_01976      K01804  188.63  675.2  1.2e-203 L-arabinose isomerase [EC:5.3.1.4]
* JOEDHDHP_01977      K03077  237.73  360.3  2.5e-108 L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
* JOEDHDHP_01978      K00853  369.20  820.4    4e-247 L-ribulokinase [EC:2.7.1.16]
* JOEDHDHP_01979      K00148  398.17  593.0  5.9e-179 glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
* JOEDHDHP_01985      K00249  376.40  388.1    2e-116 acyl-CoA dehydrogenase [EC:1.3.8.7]
* JOEDHDHP_01988      K04750   57.03  105.0   1.7e-30 PhnB protein
* JOEDHDHP_01995      K07077  364.70  979.8  1.3e-295 uncharacterized protein
* JOEDHDHP_02001      K07315  151.87  214.3   7.3e-64 phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
* JOEDHDHP_02002      K04757   54.27   84.3   3.5e-24 serine/threonine-protein kinase RsbW [EC:2.7.11.1]
* JOEDHDHP_02003      K04749   68.00   80.1   5.6e-23 anti-sigma B factor antagonist
* JOEDHDHP_02011      K08992   35.27   36.0   2.1e-09 lipopolysaccharide assembly protein A
* JOEDHDHP_02017      K27094  868.53  971.7  2.3e-293 propionyl-CoA/long-chain acyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.3 6.4.1.- 2.1.3.15]
* JOEDHDHP_02018      K27095   36.80   42.2   2.4e-11 acyl-CoA carboxylase epsilon subunit
* JOEDHDHP_02019      K11263  760.90  963.3  1.6e-290 acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]
